Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
12-52-04_882;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Sample/Images/12-52-04_882.PNG;-73,692719;23,811375;23,803153;23,750187;-74,755927;-74,655842;-74,869159;-74,383716;11,885043;2,307618;2,306477;2,311545;11,887060;11,885249;11,884973;11,883587
12-52-05_771;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Sample/Images/12-52-05_771.PNG;-73,696790;23,811127;23,803402;23,750413;-74,759023;-74,655731;-74,864997;-74,381413;11,885087;2,307638;2,306457;2,311527;11,887093;11,885248;11,884928;11,883562
12-52-06_278;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Sample/Images/12-52-06_278.PNG;-73,695304;23,810988;23,803752;23,750952;-74,759473;-74,656508;-74,862944;-74,382126;11,885071;2,307649;2,306428;2,311483;11,887097;11,885256;11,884906;11,883570
12-52-06_788;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Sample/Images/12-52-06_788.PNG;-73,695855;23,811258;23,804008;23,750850;-74,757165;-74,655564;-74,864387;-74,384813;11,885077;2,307627;2,306407;2,311491;11,887073;11,885246;11,884922;11,883599
12-52-07_297;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Sample/Images/12-52-07_297.PNG;-73,694149;23,811499;23,803686;23,750762;-74,758235;-74,662393;-74,864609;-74,384100;11,885058;2,307608;2,306433;2,311498;11,887084;11,885319;11,884924;11,883592
12-52-07_806;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Sample/Images/12-52-07_806.PNG;-73,695690;23,811360;23,804124;23,750726;-74,757221;-74,658784;-74,865330;-74,389585;11,885075;2,307619;2,306398;2,311501;11,887074;11,885281;11,884932;11,883651
12-52-08_315;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Sample/Images/12-52-08_315.PNG;-73,698331;23,811994;23,804081;23,751076;-74,754745;-74,656730;-74,862278;-74,384209;11,885104;2,307567;2,306401;2,311472;11,887047;11,885259;11,884899;11,883593
12-52-08_825;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Sample/Images/12-52-08_825.PNG;-73,693654;23,811790;23,803905;23,750908;-74,765556;-74,660227;-74,864276;-74,382784;11,885053;2,307584;2,306416;2,311486;11,887162;11,885296;11,884921;11,883577
12-52-09_334;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Sample/Images/12-52-09_334.PNG;-73,690409;23,811448;23,804489;23,750777;-74,759586;-74,659617;-74,863277;-74,387500;11,885018;2,307612;2,306368;2,311497;11,887099;11,885290;11,884910;11,883628
12-52-09_843;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Sample/Images/12-52-09_843.PNG;-73,696240;23,811695;23,804402;23,751578;-74,757615;-74,653955;-74,864664;-74,386513;11,885081;2,307592;2,306375;2,311431;11,887078;11,885229;11,884925;11,883618
12-52-10_353;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Sample/Images/12-52-10_353.PNG;-73,698275;23,811732;23,803723;23,750551;-74,760656;-74,655786;-74,869382;-74,387061;11,885103;2,307589;2,306430;2,311515;11,887110;11,885249;11,884976;11,883624
12-52-11_371;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Sample/Images/12-52-11_371.PNG;-73,695139;23,811921;23,804570;23,750755;-74,759755;-74,660394;-74,865607;-74,382455;11,885069;2,307573;2,306361;2,311499;11,887100;11,885298;11,884935;11,883574
12-52-12_263;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Sample/Images/12-52-12_263.PNG;-73,698716;23,812140;23,804387;23,750966;-74,756996;-74,657951;-74,862944;-74,384538;11,885108;2,307555;2,306376;2,311481;11,887071;11,885272;11,884906;11,883596
12-52-12_772;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Sample/Images/12-52-12_772.PNG;-73,694204;23,811353;23,804694;23,751207;-74,760431;-74,656896;-74,866384;-74,385032;11,885059;2,307620;2,306351;2,311462;11,887108;11,885260;11,884943;11,883602
12-52-13_282;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Sample/Images/12-52-13_282.PNG;-73,697010;23,811972;23,804971;23,751265;-74,759473;-74,655620;-74,867272;-74,387226;11,885089;2,307569;2,306329;2,311457;11,887097;11,885247;11,884953;11,883626
12-52-13_790;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Sample/Images/12-52-13_790.PNG;-73,694864;23,812074;23,804321;23,750923;-74,759248;-74,657618;-74,869937;-74,381029;11,885066;2,307561;2,306382;2,311485;11,887095;11,885268;11,884982;11,883558
12-52-14_299;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Sample/Images/12-52-14_299.PNG;-73,696625;23,812213;23,804212;23,750864;-74,759248;-74,658173;-74,863998;-74,384977;11,885085;2,307549;2,306391;2,311490;11,887095;11,885274;11,884918;11,883601
12-52-14_809;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Sample/Images/12-52-14_809.PNG;-73,694809;23,812227;23,804672;23,751527;-74,761613;-74,657507;-74,864054;-74,385580;11,885066;2,307548;2,306353;2,311435;11,887120;11,885267;11,884918;11,883608
12-52-15_318;C:\Users\au540322\Documents\Projects\Ice-Nucleation\Builds\Full Build\Data\Sample/Images/12-52-15_318.PNG;-73,699376;23,812176;23,804643;23,751411;-74,757841;-74,655398;-74,867272;-74,382839;11,885115;2,307552;2,306355;2,311445;11,887080;11,885244;11,884953;11,883578
