Time_MM_SS;ImageFilePath;TRef_C;T1_C;T2_C;TRef_V;T1_V;T2_V;VRef_V;TRef_C;TRef_Gradient;Target_Temp;Target_Gradient
13-02-34_995;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-02-34_995.PNG;20.9622075640675831;24.9405583174294634;23.4217879487412688;2.5480404226804034;6.2408591652428615;6.2050504210621380;20,962208;11,993468;-0,022553;-30,000000;-0,000000
13-02-39_979;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-02-39_979.PNG;20.9645781206981247;24.9428587220779150;23.3533005808484404;2.5478186933886224;6.2405686521869095;6.2130940087493665;20,964578;11,993424;0,019378;-30,000000;-0,000000
13-02-44_982;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-02-44_982.PNG;20.9628941788586971;24.9450485541967168;23.1468502404542846;2.5479338495691923;6.2402293229239785;6.2373426102008000;20,962894;11,993261;0,006012;-30,000000;-0,000000
13-02-49_995;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-02-49_995.PNG;20.9643336666842970;24.9427469320377781;23.2728027462170530;2.5478439657595135;6.2405897522324194;6.2225867642513979;20,964334;11,993439;-0,002658;-30,000000;-0,000000
13-02-54_984;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-02-54_984.PNG;20.9649545537965736;24.9415570344756361;23.3547192491710120;2.5477769105301449;6.2407007956922529;6.2129076846186937;20,964955;11,993387;0,012323;-30,000000;-0,000000
13-02-59_979;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-02-59_979.PNG;20.9661670043233812;24.8963832622237646;23.3567720350205263;2.5476539461406436;6.2459222820950915;6.2126315362829887;20,966167;11,993320;0,023847;-30,000000;-0,000000
13-03-04_979;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-03-04_979.PNG;20.9663169074168287;24.8864222515513234;23.3201054092895106;2.5476330845137292;6.2470636515059272;6.2169335017760696;20,966317;11,993286;0,012814;-30,000000;-0,000000
13-03-09_983;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-03-09_983.PNG;20.9687752431245826;24.8871437707836662;23.2952568998138076;2.5474163620124082;6.2469873575560673;6.2198689711015804;20,968775;11,993301;0,015550;-30,000000;-0,000000
13-03-14_983;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-03-14_983.PNG;20.9678412443352471;24.8509142646412897;23.2602634420845220;2.5474630920566974;6.2511158735225125;6.2239053382817131;20,967841;11,993132;0,003653;-30,000000;-0,000000
13-03-19_983;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-03-19_983.PNG;20.9681138353883192;24.8682653767162947;23.2157154013869444;2.5474548666152277;6.2491350322446246;6.2291945951696999;20,968114;11,993206;-0,001692;-30,000000;-0,000000
13-03-24_982;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-03-24_982.PNG;20.9684397380067509;24.8690532491530689;23.1778292689289742;2.5474596349870939;6.2491242438032790;6.2337418933953002;20,968440;11,993362;0,011325;-30,000000;-0,000000
13-03-29_982;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-03-29_982.PNG;20.9694674121022189;24.8500190461732018;23.1921083500325835;2.5473822681535641;6.2513743192776632;6.2320929904039515;20,969467;11,993428;0,011420;-30,000000;-0,000000
13-03-34_983;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-03-34_983.PNG;20.9709062639750669;24.8531332843198243;23.2646247890665449;2.5472257463470545;6.2509455234375917;6.2234788670229237;20,970906;11,993301;0,018636;-30,000000;-0,000000
13-03-39_982;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-03-39_982.PNG;20.9706379481033629;24.8507885282340908;23.2947542033017498;2.5472460119274865;6.2512095124250369;6.2199193966340669;20,970638;11,993284;0,014661;-30,000000;-0,000000
13-03-44_982;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-03-44_982.PNG;20.9729178302830270;24.8618320006677322;23.4235775716840067;2.5470106331712383;6.2498492151408938;6.2046702030104521;20,972918;11,993140;0,012322;-30,000000;-0,000000
13-03-49_983;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-03-49_983.PNG;20.9726473663549164;24.8664598018744414;23.3711903802199572;2.5470552174481882;6.2493592649316358;6.2108881599240400;20,972647;11,993233;-0,011946;-30,000000;-0,000000
13-03-54_982;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-03-54_982.PNG;20.9725131840818264;24.8597300682517357;23.3819900733641361;2.5470812050748588;6.2501758486137309;6.2096492773085403;20,972513;11,993297;-0,017480;-30,000000;-0,000000
13-03-59_982;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-03-59_982.PNG;20.9741836147362903;24.8809448858046380;23.2724865379303765;2.5469633070804658;6.2477820663322250;6.2226253284588653;20,974184;11,993442;0,013410;-30,000000;-0,000000
13-04-04_982;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-04-04_982.PNG;20.9757329456444488;24.8770372036204890;23.4334774095749481;2.5468001691579918;6.2481782584296628;6.2036023857356541;20,975733;11,993329;0,033689;-30,000000;-0,000000
13-04-09_983;C:\Program Files\Ice Nucleation Controller\Data\Verticalgradienttest/Images/13-04-09_983.PNG;20.9762310611997336;24.8779452262250515;23.4090488803999506;2.5467272726730870;6.2480049877169721;6.2064118508345984;20,976231;11,993200;0,034801;-30,000000;-0,000000
