Partition;Description;; ;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
A;35%;;A;A;A;A;A;B;B;B;B;B;C;C;C;C;C;D;D;D;D;D;E;E;E;E;E
B;15%;;B;A;A;A;A;B;B;B;B;B;C;C;C;C;C;D;D;D;D;D;E;E;E;E;E
C;5%;;C;A;A;A;A;B;B;B;B;B;C;C;C;C;C;D;D;D;D;D;E;E;E;E;E
D;35%;;D;A;A;A;A;B;B;B;B;B;C;C;C;C;C;D;D;D;D;D;E;E;E;E;E
E;Test sample;;E;A;A;A;A;B;B;B;B;B;C;C;C;C;C;D;D;D;D;D;E;E;E;E;E
F;High Concentration;;F;A;A;A;A;B;B;B;B;B;C;C;C;C;C;D;D;D;D;D;E;E;E;E;E
G;Low Concentration;;G;A;A;A;A;B;B;B;B;B;C;C;C;C;C;D;D;D;D;D;E;E;E;E;E
X;Empty;;H;A;A;A;A;B;B;B;B;B;C;C;C;C;C;D;D;D;D;D;E;E;E;E;E
;;;I;A;A;A;A;B;B;B;B;B;C;C;C;C;C;D;D;D;D;D;E;E;E;E;E
;;;J;A;A;A;A;B;B;B;B;B;C;C;C;C;C;D;D;D;D;D;E;E;E;E;E
;;;K;A;A;A;A;B;B;B;B;B;C;C;C;C;C;D;D;D;D;D;E;E;E;E;E
;;;L;A;A;A;A;B;B;B;B;B;C;C;C;C;C;D;D;D;D;D;E;E;E;E;E
;;;M;A;A;A;A;B;B;B;B;B;C;C;C;C;C;D;D;D;D;D;E;E;E;E;E
;;;N;A;A;A;A;B;B;B;B;B;C;C;C;C;C;D;D;D;D;D;E;E;E;E;E
;;;O;A;A;A;A;B;B;B;B;B;C;C;C;C;C;D;D;D;D;D;E;E;E;E;E
;;;P;A;A;A;A;B;B;B;B;B;C;C;C;C;C;D;D;D;D;D;E;E;E;E;E
;;;;;;;;;;;;;;;;;;;;;;;;;;;
