Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
15-25-06_370;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_10/Images/15-25-06_370.PNG;-73,765587;2,384056;2,366458;2,230703;-74,822918;-74,717098;-74,933656;-74,446711;11,885830;4,724003;4,718330;4,740806;11,887767;11,885905;11,885664;11,884270
15-25-06_870;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_10/Images/15-25-06_870.PNG;-73,762545;2,388902;2,370971;2,234586;-74,819354;-74,715927;-74,926908;-74,446822;11,885797;4,723311;4,717686;4,740250;11,887730;11,885893;11,885592;11,884272
15-25-07_370;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_10/Images/15-25-07_370.PNG;-73,764426;2,393665;2,374920;2,238389;-74,822352;-74,720836;-74,931258;-74,447538;11,885818;4,722631;4,717124;4,739706;11,887761;11,885945;11,885638;11,884279
15-25-07_870;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_10/Images/15-25-07_870.PNG;-73,763264;2,398470;2,379375;2,242947;-74,825351;-74,720780;-74,932875;-74,446601;11,885805;4,721945;4,716489;4,739054;11,887793;11,885945;11,885656;11,884269
15-25-08_371;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_10/Images/15-25-08_371.PNG;-73,763043;2,403321;2,383613;2,247273;-74,824899;-74,724239;-74,929194;-74,453491;11,885803;4,721252;4,715885;4,738435;11,887788;11,885982;11,885616;11,884344
15-25-08_870;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_10/Images/15-25-08_870.PNG;-73,762047;2,407613;2,388587;2,251836;-74,823144;-74,721226;-74,931927;-74,452003;11,885792;4,720639;4,715177;4,737783;11,887770;11,885949;11,885646;11,884328
15-25-09_370;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_10/Images/15-25-09_370.PNG;-73,765366;2,412774;2,393068;2,256332;-74,821673;-74,720055;-74,929975;-74,449302;11,885828;4,719903;4,714538;4,737140;11,887754;11,885937;11,885625;11,884298
15-25-09_870;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_10/Images/15-25-09_870.PNG;-73,757236;2,417789;2,397931;2,261646;-74,822126;-74,718047;-74,931592;-74,443956;11,885740;4,719187;4,713846;4,736380;11,887759;11,885916;11,885642;11,884241
15-25-10_370;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_10/Images/15-25-10_370.PNG;-73,760554;2,422709;2,402643;2,266252;-74,822975;-74,718827;-74,932597;-74,446546;11,885776;4,718485;4,713174;4,735721;11,887768;11,885924;11,885653;11,884269
15-25-10_870;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_10/Images/15-25-10_870.PNG;-73,761549;2,427675;2,407891;2,271262;-74,826031;-74,720613;-74,937339;-74,449632;11,885787;4,717776;4,712427;4,735005;11,887800;11,885943;11,885703;11,884302
