Time [MM:SS];Image file path;T2;T3;T4;V2;V3;V4
13-07-28_899;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_28/Images/13-07-28_899.PNG;23,876156;23,869330;23,816246;2,302325;2,301080;2,306147
13-07-29_409;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_28/Images/13-07-29_409.PNG;23,875856;23,869615;23,816020;2,302349;2,301057;2,306166
13-07-29_917;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_28/Images/13-07-29_917.PNG;23,876762;23,869410;23,815684;2,302275;2,301074;2,306193
13-07-30_427;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_28/Images/13-07-30_427.PNG;23,876682;23,869000;23,816436;2,302282;2,301107;2,306132
13-07-30_936;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_28/Images/13-07-30_936.PNG;23,876426;23,869052;23,816232;2,302303;2,301103;2,306149
13-07-31_445;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_28/Images/13-07-31_445.PNG;23,876740;23,869169;23,816465;2,302277;2,301093;2,306129
13-07-31_955;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_28/Images/13-07-31_955.PNG;23,876565;23,869498;23,816217;2,302292;2,301067;2,306150
13-07-32_464;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_28/Images/13-07-32_464.PNG;23,876470;23,869344;23,815852;2,302299;2,301079;2,306180
13-07-32_974;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_28/Images/13-07-32_974.PNG;23,876353;23,869330;23,816392;2,302309;2,301080;2,306135
13-07-33_482;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_28/Images/13-07-33_482.PNG;23,877083;23,869740;23,816239;2,302249;2,301047;2,306148
13-07-33_992;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_28/Images/13-07-33_992.PNG;23,876229;23,869454;23,816166;2,302319;2,301070;2,306154
13-07-35_011;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_28/Images/13-07-35_011.PNG;23,876901;23,869257;23,816699;2,302264;2,301086;2,306110
13-07-35_902;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_28/Images/13-07-35_902.PNG;23,876879;23,870003;23,816640;2,302266;2,301026;2,306115
13-07-36_413;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_28/Images/13-07-36_413.PNG;23,876872;23,869747;23,816180;2,302266;2,301046;2,306153
13-07-36_921;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sample_28/Images/13-07-36_921.PNG;23,876426;23,869966;23,816268;2,302303;2,301029;2,306146
