Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
2021_06_29-10-53-58-061;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-53-58-061.PNG;-6,348687;31,858705;30,720553;31,461483;NaN;NaN;NaN;NaN;8,084885;4,547966;4,653306;4,584600;12,094172;12,095508;12,095910;12,097797
2021_06_29-10-53-59-133;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-53-59-133.PNG;-6,349259;31,936987;30,486319;31,564794;NaN;NaN;NaN;NaN;8,084928;4,540764;4,675125;4,575058;12,094190;12,095583;12,095900;12,097792
2021_06_29-10-54-00-133;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-54-00-133.PNG;-6,348473;31,832094;30,656906;31,245473;NaN;NaN;NaN;NaN;8,084869;4,550416;4,659230;4,604581;12,094142;12,095526;12,095903;12,097765
2021_06_29-10-54-01-133;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-54-01-133.PNG;-6,349116;31,304313;30,658981;30,795621;NaN;NaN;NaN;NaN;8,084917;4,599134;4,659037;4,646323;12,094199;12,095535;12,095914;12,097811
2021_06_29-10-54-02-133;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-54-02-133.PNG;-6,349473;31,028404;30,364120;30,563184;NaN;NaN;NaN;NaN;8,084944;4,624701;4,686526;4,667959;12,094180;12,095564;12,095894;12,097804
2021_06_29-10-54-03-134;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-54-03-134.PNG;-6,349163;31,104382;30,193350;30,843804;NaN;NaN;NaN;NaN;8,084921;4,617654;4,702480;4,641844;12,094144;12,095544;12,095909;12,097786
2021_06_29-10-54-04-134;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-54-04-134.PNG;-6,349401;31,207552;29,851927;30,750863;NaN;NaN;NaN;NaN;8,084938;4,608093;4,734448;4,650486;12,094171;12,095496;12,095889;12,097729
2021_06_29-10-54-05-135;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-54-05-135.PNG;-6,349996;31,161811;29,389003;30,617407;NaN;NaN;NaN;NaN;8,084983;4,612330;4,777943;4,662908;12,094176;12,095551;12,095937;12,097854
2021_06_29-10-54-06-135;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-54-06-135.PNG;-6,349235;31,310167;29,678927;30,586828;NaN;NaN;NaN;NaN;8,084926;4,598592;4,750682;4,665757;12,094140;12,095551;12,095885;12,097781
2021_06_29-10-54-07-135;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-54-07-135.PNG;-6,349663;31,389288;30,663379;30,578805;NaN;NaN;NaN;NaN;8,084958;4,591273;4,658627;4,666504;12,094144;12,095528;12,095927;12,097770
2021_06_29-10-54-08-135;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-54-08-135.PNG;-6,349211;31,777436;30,686641;31,025590;NaN;NaN;NaN;NaN;8,084924;4,555450;4,656462;4,624962;12,094176;12,095544;12,095866;12,097772
2021_06_29-10-54-09-136;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-54-09-136.PNG;-6,349949;31,918791;31,174856;31,050627;NaN;NaN;NaN;NaN;8,084980;4,542437;4,611122;4,622639;12,094194;12,095530;12,095918;12,097804
2021_06_29-10-54-10-136;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-54-10-136.PNG;-6,350092;31,785201;31,500541;30,705200;NaN;NaN;NaN;NaN;8,084990;4,554735;4,580992;4,654734;12,094172;12,095558;12,095882;12,097772
2021_06_29-10-54-11-136;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-54-11-136.PNG;-6,349568;31,722905;31,824733;30,340600;NaN;NaN;NaN;NaN;8,084951;4,560474;4,551094;4,688722;12,094133;12,095469;12,095859;12,097775
2021_06_29-10-54-12-136;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-54-12-136.PNG;-6,349568;31,416133;31,611217;30,268654;NaN;NaN;NaN;NaN;8,084951;4,588791;4,570774;4,695441;12,094140;12,095542;12,095903;12,097747
2021_06_29-10-54-13-136;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-54-13-136.PNG;-6,349687;31,576863;31,702284;30,324993;NaN;NaN;NaN;NaN;8,084960;4,573944;4,562375;4,690179;12,094169;12,095513;12,095866;12,097824
2021_06_29-10-54-14-137;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-54-14-137.PNG;-6,350258;31,884391;31,753194;30,739580;NaN;NaN;NaN;NaN;8,085003;4,545602;4,557683;4,651535;12,094199;12,095542;12,095903;12,097772
2021_06_29-10-54-15-136;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration/Images/2021_06_29-10-54-15-136.PNG;-6,349758;32,059197;31,451246;30,991408;NaN;NaN;NaN;NaN;8,084965;4,529531;4,585546;4,628134;12,094167;12,095521;12,095860;12,097802
