Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
11:01:15,139;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_1/Images/11:01:15,139.PNG;-6,406681;30,578114;29,606746;30,066845;NaN;NaN;NaN;NaN;8,089239;4,666568;4,757463;4,714313;12,094140;12,095553;12,095889;12,097784
11:01:15,640;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_1/Images/11:01:15,640.PNG;-6,406991;30,507702;29,458049;29,967696;NaN;NaN;NaN;NaN;8,089262;4,673131;4,771444;4,723597;12,094230;12,095564;12,095932;12,097806
11:01:16,640;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_1/Images/11:01:16,640.PNG;-6,406681;30,651702;29,099830;30,042241;NaN;NaN;NaN;NaN;8,089239;4,659714;4,805197;4,716617;12,094222;12,095567;12,095962;12,097854
11:01:17,390;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_1/Images/11:01:17,390.PNG;-6,406943;30,833127;29,153337;30,222176;NaN;NaN;NaN;NaN;8,089259;4,642836;4,800149;4,699785;12,094219;12,095615;12,095998;12,097849
11:01:18,390;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_1/Images/11:01:18,390.PNG;-6,406753;30,331715;29,385128;30,096270;NaN;NaN;NaN;NaN;8,089244;4,689551;4,778307;4,711560;12,094240;12,095605;12,096003;12,097872
11:01:19,391;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_1/Images/11:01:19,391.PNG;-6,407277;30,290360;29,217147;29,897778;NaN;NaN;NaN;NaN;8,089284;4,693414;4,794132;4,730149;12,094239;12,095628;12,095986;12,097924
11:01:20,391;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_1/Images/11:01:20,391.PNG;-6,406038;30,382453;29,687344;30,153460;NaN;NaN;NaN;NaN;8,089191;4,684814;4,749892;4,706210;12,094253;12,095572;12,095996;12,097895
11:01:21,392;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_1/Images/11:01:21,392.PNG;-6,405704;30,492571;30,309465;29,678223;NaN;NaN;NaN;NaN;8,089166;4,674542;4,691629;4,750749;12,094267;12,095596;12,096030;12,097944
11:01:22,392;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_1/Images/11:01:22,392.PNG;-6,405704;30,533445;30,768664;29,577844;NaN;NaN;NaN;NaN;8,089166;4,670731;4,648830;4,760179;12,094221;12,095598;12,095975;12,097852
11:01:23,392;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_1/Images/11:01:23,392.PNG;-6,405418;31,103456;30,612224;30,164664;NaN;NaN;NaN;NaN;8,089144;4,617740;4,663391;4,705162;12,094217;12,095599;12,095994;12,097868
11:01:24,392;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_1/Images/11:01:24,392.PNG;-6,404656;31,711052;30,956814;30,409948;NaN;NaN;NaN;NaN;8,089087;4,561567;4,631346;4,682249;12,094237;12,095542;12,095916;12,097860
11:01:25,392;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_1/Images/11:01:25,392.PNG;-6,404846;31,669838;31,140703;30,466167;NaN;NaN;NaN;NaN;8,089101;4,565367;4,614287;4,677004;12,094205;12,095515;12,095937;12,097813
11:01:26,393;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_1/Images/11:01:26,393.PNG;-6,404012;31,774699;32,021635;30,489771;NaN;NaN;NaN;NaN;8,089039;4,555702;4,532982;4,674803;12,094212;12,095542;12,095962;12,097813
11:01:27,393;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_1/Images/11:01:27,393.PNG;-6,404060;31,678118;31,876716;30,432697;NaN;NaN;NaN;NaN;8,089042;4,564603;4,546309;4,680126;12,094239;12,095519;12,095964;12,097840
11:01:28,393;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_1/Images/11:01:28,393.PNG;-6,403631;31,455561;31,744675;30,408664;NaN;NaN;NaN;NaN;8,089010;4,585147;4,558468;4,682368;12,094240;12,095551;12,095946;12,097886
11:01:29,393;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_1/Images/11:01:29,393.PNG;-6,402844;31,807645;31,784929;30,314826;NaN;NaN;NaN;NaN;8,088951;4,552667;4,554760;4,691128;12,094185;12,095558;12,095955;12,097868
11:01:30,394;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_1/Images/11:01:30,394.PNG;-6,402487;31,676509;31,558867;30,387070;NaN;NaN;NaN;NaN;8,088924;4,564752;4,575606;4,684384;12,094212;12,095513;12,095937;12,097822
11:01:31,393;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_1/Images/11:01:31,393.PNG;-6,402415;31,617787;31,510725;30,495812;NaN;NaN;NaN;NaN;8,088919;4,570168;4,580051;4,674239;12,094201;12,095580;12,095961;12,097863
11:01:32,394;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_1/Images/11:01:32,394.PNG;-6,402773;31,935296;31,406152;30,903056;NaN;NaN;NaN;NaN;8,088946;4,540919;4,589714;4,636338;12,094258;12,095558;12,095916;12,097820
11:01:33,394;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_1/Images/11:01:33,394.PNG;-6,402320;31,206298;30,998113;30,407285;NaN;NaN;NaN;NaN;8,088912;4,608209;4,627512;4,682497;12,094210;12,095576;12,095946;12,097847
11:01:34,395;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_1/Images/11:01:34,395.PNG;-6,401415;30,589131;30,820181;30,051505;NaN;NaN;NaN;NaN;8,088844;4,665542;4,644040;4,715749;12,094221;12,095547;12,095971;12,097883
11:01:35,395;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_1/Images/11:01:35,395.PNG;-6,401200;30,640448;30,395539;30,152619;NaN;NaN;NaN;NaN;8,088828;4,660762;4,683593;4,706288;12,094201;12,095558;12,095919;12,097809
