Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
12-48-54_793;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_11/Images/12-48-54_793.PNG;-6,686406;31,723161;30,521463;30,078530;NaN;NaN;NaN;NaN;8,110160;4,560451;4,671848;4,713220;12,215822;12,095547;12,095901;12,097511
12-48-55_042;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_11/Images/12-48-55_042.PNG;-6,664088;31,597505;30,477924;29,982338;NaN;NaN;NaN;NaN;8,108496;4,572039;4,675907;4,722226;12,215105;12,094152;12,094735;12,096803
12-48-55_293;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_11/Images/12-48-55_293.PNG;-6,683470;31,536884;30,402287;30,048208;NaN;NaN;NaN;NaN;8,109942;4,577635;4,682963;4,716058;12,215292;12,095100;12,095113;12,097240
12-48-55_543;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_11/Images/12-48-55_543.PNG;-6,653321;31,516487;30,397742;30,021362;NaN;NaN;NaN;NaN;8,107693;4,579519;4,683388;4,718571;12,214562;12,093991;12,094452;12,096267
12-48-55_792;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_11/Images/12-48-55_792.PNG;-6,674948;31,551933;30,279782;30,082512;NaN;NaN;NaN;NaN;8,109306;4,576246;4,694402;4,712847;12,215223;12,094810;12,095220;12,096919
12-48-56_043;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_11/Images/12-48-56_043.PNG;-6,648849;31,503062;30,193453;29,977672;NaN;NaN;NaN;NaN;8,107359;4,580759;4,702470;4,722663;12,214616;12,093849;12,094613;12,096318
12-48-56_292;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_11/Images/12-48-56_292.PNG;-6,673994;31,440388;30,103612;29,864716;NaN;NaN;NaN;NaN;8,109235;4,586549;4,710873;4,733249;12,215355;12,095002;12,095244;12,097316
12-48-56_541;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_11/Images/12-48-56_541.PNG;-6,662338;31,375957;30,032007;29,789851;NaN;NaN;NaN;NaN;8,108366;4,592506;4,717575;4,740270;12,214895;12,094091;12,094864;12,096405
12-48-56_791;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_11/Images/12-48-56_791.PNG;-6,678036;31,316359;29,962485;29,744370;NaN;NaN;NaN;NaN;8,109536;4,598019;4,724086;4,744538;12,215534;12,095171;12,095392;12,097404
12-48-57_041;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_11/Images/12-48-57_041.PNG;-6,659385;31,277667;29,895611;29,745445;NaN;NaN;NaN;NaN;8,108145;4,601600;4,730352;4,744438;12,214811;12,094213;12,094677;12,096672
12-48-57_292;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_11/Images/12-48-57_292.PNG;-6,683940;31,255879;29,842912;29,677259;NaN;NaN;NaN;NaN;8,109977;4,603617;4,735293;4,750839;12,215352;12,095169;12,095513;12,097266
12-48-57_542;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_11/Images/12-48-57_542.PNG;-6,654438;31,257926;30,039811;29,583647;NaN;NaN;NaN;NaN;8,107776;4,603428;4,716844;4,759634;12,214577;12,094061;12,094582;12,096464
12-48-57_792;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\Sensor1Calibration_11/Images/12-48-57_792.PNG;-6,679609;31,255674;30,353712;29,689743;NaN;NaN;NaN;NaN;8,109654;4,603636;4,687497;4,749667;12,215376;12,095136;12,095160;12,097154
