Partition;Description;; ;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
A;35%;;A;X;X;X;X;X;X;X;A;A;A;A;A;X;X;X;X;X;X;X;X;X;X;X;X
B;15%;;B;X;X;X;X;X;X;X;A;A;A;A;A;X;X;X;X;X;X;X;X;X;X;X;X
C;5%;;C;X;X;X;X;X;X;X;A;A;A;A;A;X;X;X;X;X;X;X;X;X;X;X;X
D;35%;;D;X;X;X;X;X;X;X;A;A;A;A;A;X;X;X;X;X;X;X;X;X;X;X;X
E;Test sample;;E;X;X;X;X;X;X;X;A;A;A;A;A;X;C;C;C;C;C;X;X;X;X;X;X
F;High Concentration;;F;X;X;X;X;X;X;X;X;X;X;X;X;X;C;C;C;C;C;X;X;X;X;X;X
G;Low Concentration;;G;X;X;X;X;G;G;G;G;G;G;G;G;X;C;C;C;C;C;X;X;X;X;X;X
X;Empty;;H;X;X;X;X;G;G;G;G;G;G;G;G;X;X;X;X;X;X;X;X;X;X;X;X
;;;I;X;X;X;X;G;G;G;G;G;G;G;G;X;X;X;E;E;E;X;X;X;X;X;X
;;;J;X;X;X;X;C;C;C;C;C;X;X;X;X;X;X;E;E;E;X;X;X;X;X;X
;;;K;X;X;X;X;C;C;C;C;C;X;X;X;X;X;X;E;E;E;X;X;X;X;X;X
;;;L;X;X;X;X;C;C;C;C;C;X;X;X;X;X;X;E;E;E;X;X;X;X;X;X
;;;M;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
;;;N;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
;;;O;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
;;;P;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
;;;;;;;;;;;;;;;;;;;;;;;;;;;
