Time [MM:SS];Image file path;T1;T2;T3;T4;T5;T6;T7;T8;V1;V2;V3;V4;V5;V6;V7;V8
2021_06_18-10-40-07-328;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\_41/Images/2021_06_18-10-40-07-328.PNG;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
2021_06_18-10-40-07-577;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\_41/Images/2021_06_18-10-40-07-577.PNG;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
2021_06_18-10-40-07-827;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\_41/Images/2021_06_18-10-40-07-827.PNG;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
2021_06_18-10-40-08-077;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\_41/Images/2021_06_18-10-40-08-077.PNG;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
2021_06_18-10-40-08-327;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\_41/Images/2021_06_18-10-40-08-327.PNG;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
2021_06_18-10-40-08-577;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\_41/Images/2021_06_18-10-40-08-577.PNG;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
2021_06_18-10-40-08-827;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\_41/Images/2021_06_18-10-40-08-827.PNG;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
2021_06_18-10-40-09-077;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\_41/Images/2021_06_18-10-40-09-077.PNG;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
2021_06_18-10-40-09-327;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\_41/Images/2021_06_18-10-40-09-327.PNG;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
2021_06_18-10-40-09-577;C:\Users\au540322\Documents\Projects\Ice-Nucleation\src\LabVIEW\Data\_41/Images/2021_06_18-10-40-09-577.PNG;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
